symbol	mcap_cr	pe	pb	industry
VENTIVE	13252	36.1	2.7	Hotels & Resorts
VGUARD	14184	49.7	6.5	Household Appliances
VIJAYA	9246	57.9	10.7	Healthcare Service Provider
VIKRAMSOLR	6838	15.2	2.1	Unknown
VMM	53152	68.1	7.6	Diversified Retail
VOLTAS	41427	82.4	6.5	Household Appliances
VTL	15532	19.2	1.5	Other Textile Products
WAAREEENER	88732	27.1	7.7	Other Electrical Equipment
WAAREERTL	9002	21.6	13.7	Unknown
WELCORP	22747	11.7	2.8	Iron & Steel Products
WELSPUNLIV	11265	48.1	2.4	Other Textile Products
WHIRLPOOL	10409	31.3	1.3	Household Appliances
WIPRO	206862	15.6	2.3	Computers - Software & Consulting
WOCKPHARMA	20700	1003.1	4.5	Pharmaceuticals
YESBANK	56954	18.0	1.2	Private Sector Bank
ZEEL	7082	12.5	0.6	TV Broadcasting & Software Production
ZENSARTECH	12533	17.1	2.9	Computers - Software & Consulting
ZENTEC	12408	46.9	6.9	Aerospace & Defense
ZFCVINDIA	26069	52.3	7.6	Auto Components & Equipments
ZYDUSLIFE	87199	17.6	3.4	Pharmaceuticals
