symbol	mcap_cr	pe	pb	industry
CHOICEIN	14291	59.8	10.8	Holding Company
CHOLAFIN	118706	24.2	4.5	Non Banking Financial Company (NBFC)
CHOLAHLDNG	26846	11.3	2.0	Investment Company
CIPLA	97007	21.3	2.9	Pharmaceuticals
CLEAN	7385	30.1	4.9	Specialty Chemicals
COALINDIA	283208	9.5	2.7	Coal
COCHINSHIP	35102	48.3	6.2	Ship Building & Allied Services
COFORGE	40976	36.4	5.9	Computers - Software & Consulting
COHANCE	11553	59.5	3.0	Pharmaceuticals
COLPAL	49765	37.5	31.5	Personal Care
CONCOR	34307	26.8	2.7	Logistics Solution Provider
CONCORDBIO	10772	34.6	5.9	Pharmaceuticals
COROMANDEL	55767	23.3	4.6	Fertilizers
CRAFTSMAN	16178	48.3	5.3	Auto Components & Equipments
CREDITACC	18903	39.0	2.6	Microfinance Institutions
CRISIL	27876	36.3	9.2	Other Financial Services
CRIZAC	3096	16.1	5.2	Unknown
CROMPTON	15371	32.8	4.4	Household Appliances
CUB	18569	14.8	1.9	Private Sector Bank
CUMMINSIND	130237	58.1	16.5	Compressors Pumps & Diesel Engines
CYIENT	8978	16.6	1.6	IT Enabled Services
DABUR	73378	39.8	6.7	Personal Care
DALBHARAT	35207	29.7	2.0	Cement & Cement Products
DATAPATTNS	17560	71.3	11.4	Aerospace & Defense
DBREALTY	4984	47.4	1.2	Hotels & Resorts
DCMSHRIRAM	17586	26.7	2.5	Diversified
DEEPAKFERT	12429	14.2	1.9	Commodity Chemicals
DEEPAKNTR	18931	35.5	3.4	Specialty Chemicals
DELHIVERY	32737	217.9	3.4	Logistics Solution Provider
DEVYANI	12327		7.8	Restaurants
DIVISLAB	154529	62.5	10.0	Pharmaceuticals
DIXON	60759	36.4	13.3	Consumer Electronics
DLF	131041	29.5	3.0	Residential Commercial Projects
DMART	297159	103.3	12.9	Diversified Retail
DOMS	14112	63.7	12.8	Stationary
DRREDDY	101393	17.9	2.7	Pharmaceuticals
ECLERX	14010	21.6	5.4	Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
EICHERMOT	180938	33.9	8.2	2/3 Wheelers
EIDPARRY	14506	12.2	1.7	Other Food Products
EIHOTEL	18986	29.5	4.0	Hotels & Resorts
ELECON	8788	18.2	3.9	Heavy Electrical Equipment
ELGIEQUIP	15155	37.6	7.6	Compressors Pumps & Diesel Engines
EMAMILTD	17470	22.0	6.0	Personal Care
EMCURE	29428	33.8	6.2	Pharmaceuticals
